window_idx,equipment_id,operating_mode,batch,anomaly_type,label
851,EQ-001,normal,v1,pressure_leak,1
1980,EQ-003,high_load,v1,normal,0
3979,EQ-005,high_load,v1,normal,0
3367,EQ-004,normal,v1,normal,0
695,EQ-001,normal,v1,normal,0
3317,EQ-004,normal,v1,normal,0
15,EQ-001,cooldown,v1,normal,0
199,EQ-001,normal,v1,normal,0
3113,EQ-004,normal,v1,normal,0
1602,EQ-002,normal,v1,normal,0
4263,EQ-005,normal,v1,normal,0
2810,EQ-003,normal,v1,normal,0
4107,EQ-005,normal,v1,bearing_degradation,1
2496,EQ-003,normal,v1,normal,0
2217,EQ-003,normal,v1,normal,0
2191,EQ-003,normal,v1,normal,0
4702,EQ-005,normal,v1,normal,0
309,EQ-001,normal,v1,normal,0
1044,EQ-002,high_load,v1,normal,0
1246,EQ-002,normal,v1,normal,0
4453,EQ-005,normal,v1,normal,0
2489,EQ-003,normal,v1,normal,0
65,EQ-001,high_load,v1,normal,0
60,EQ-001,high_load,v1,normal,0
3484,EQ-004,normal,v1,normal,0
1481,EQ-002,normal,v1,bearing_degradation,1
290,EQ-001,normal,v1,normal,0
3858,EQ-004,normal,v1,normal,0
1110,EQ-002,normal,v1,normal,0
3880,EQ-004,normal,v1,normal,0
1315,EQ-002,normal,v1,normal,0
1112,EQ-002,normal,v1,normal,0
952,EQ-001,normal,v1,normal,0
3249,EQ-004,normal,v1,normal,0
4013,EQ-005,normal,v1,sensor_malfunction,1
1314,EQ-002,normal,v1,normal,0
299,EQ-001,normal,v1,normal,0
1117,EQ-002,normal,v1,normal,0
1898,EQ-002,normal,v1,thermal_runaway,1
1740,EQ-002,normal,v1,bearing_degradation,1
180,EQ-001,normal,v1,normal,0
561,EQ-001,normal,v1,normal,0
4806,EQ-005,normal,v1,thermal_runaway,1
2293,EQ-003,normal,v1,normal,0
3685,EQ-004,normal,v1,normal,0
3748,EQ-004,normal,v1,normal,0
4691,EQ-005,normal,v1,normal,0
3199,EQ-004,normal,v1,normal,0
716,EQ-001,normal,v1,normal,0
4599,EQ-005,normal,v1,normal,0
4248,EQ-005,normal,v1,normal,0
4764,EQ-005,normal,v1,normal,0
1441,EQ-002,normal,v1,normal,0
4195,EQ-005,normal,v1,normal,0
3295,EQ-004,normal,v1,thermal_runaway,1
422,EQ-001,normal,v1,sensor_malfunction,1
2516,EQ-003,normal,v1,normal,0
958,EQ-001,normal,v1,normal,0
3472,EQ-004,normal,v1,normal,0
3910,EQ-004,startup,v1,normal,0
3584,EQ-004,normal,v1,normal,0
2050,EQ-003,high_load,v1,normal,0
1933,EQ-002,normal,v1,normal,0
1396,EQ-002,normal,v1,normal,0
4213,EQ-005,normal,v1,normal,0
3536,EQ-004,normal,v1,normal,0
4675,EQ-005,normal,v1,normal,0
4252,EQ-005,normal,v1,normal,0
1569,EQ-002,normal,v1,normal,0
2629,EQ-003,normal,v1,normal,0
2263,EQ-003,normal,v1,normal,0
4042,EQ-005,normal,v1,normal,0
753,EQ-001,normal,v1,normal,0
1417,EQ-002,normal,v1,normal,0
1266,EQ-002,normal,v1,normal,0
4642,EQ-005,normal,v1,bearing_degradation,1
1345,EQ-002,normal,v1,normal,0
4011,EQ-005,normal,v1,normal,0
4130,EQ-005,normal,v1,normal,0
645,EQ-001,normal,v1,normal,0
510,EQ-001,normal,v1,normal,0
22,EQ-001,high_load,v1,normal,0
3746,EQ-004,normal,v1,normal,0
54,EQ-001,high_load,v1,normal,0
2244,EQ-003,normal,v1,normal,0
85,EQ-001,high_load,v1,normal,0
2767,EQ-003,normal,v1,normal,0
4795,EQ-005,normal,v1,normal,0
1491,EQ-002,normal,v1,normal,0
2415,EQ-003,normal,v1,normal,0
2961,EQ-004,high_load,v1,bearing_degradation,1
1775,EQ-002,normal,v1,normal,0
3235,EQ-004,normal,v1,normal,0
1349,EQ-002,normal,v1,normal,0
2674,EQ-003,normal,v1,sensor_malfunction,1
1918,EQ-002,normal,v1,normal,0
2517,EQ-003,normal,v1,normal,0
2438,EQ-003,normal,v1,normal,0
782,EQ-001,normal,v1,normal,0
685,EQ-001,normal,v1,normal,0
3668,EQ-004,normal,v1,normal,0
1184,EQ-002,normal,v1,sensor_malfunction,1
101,EQ-001,high_load,v1,normal,0
2481,EQ-003,normal,v1,normal,0
3473,EQ-004,normal,v1,normal,0
539,EQ-001,normal,v1,normal,0
4845,EQ-005,normal,v1,normal,0
2033,EQ-003,high_load,v1,normal,0
3461,EQ-004,normal,v1,normal,0
762,EQ-001,normal,v1,normal,0
3171,EQ-004,normal,v1,normal,0
1464,EQ-002,normal,v1,normal,0
2339,EQ-003,normal,v1,normal,0
3281,EQ-004,normal,v1,thermal_runaway,1
4874,EQ-005,normal,v1,normal,0
2460,EQ-003,normal,v1,normal,0
1961,EQ-003,cooldown,v1,normal,0
896,EQ-001,normal,v1,normal,0
2916,EQ-003,normal,v1,sensor_malfunction,1
957,EQ-001,normal,v1,normal,0
2266,EQ-003,normal,v1,normal,0
1008,EQ-002,high_load,v1,normal,0
3374,EQ-004,normal,v1,normal,0
1759,EQ-002,normal,v1,normal,0
398,EQ-001,normal,v1,sensor_malfunction,1
1381,EQ-002,normal,v1,normal,0
787,EQ-001,normal,v1,normal,0
2128,EQ-003,normal,v1,normal,0
2394,EQ-003,normal,v1,normal,0
3503,EQ-004,normal,v1,normal,0
3100,EQ-004,normal,v1,normal,0
2199,EQ-003,normal,v1,normal,0
4661,EQ-005,normal,v1,normal,0
2858,EQ-003,normal,v1,normal,0
4051,EQ-005,normal,v1,normal,0
4081,EQ-005,normal,v1,normal,0
1931,EQ-002,normal,v1,normal,0
4198,EQ-005,normal,v1,normal,0
2222,EQ-003,normal,v1,normal,0
1270,EQ-002,normal,v1,normal,0
2480,EQ-003,normal,v1,normal,0
4376,EQ-005,normal,v1,normal,0
3347,EQ-004,normal,v1,sensor_malfunction,1
2698,EQ-003,normal,v1,normal,0
3672,EQ-004,normal,v1,normal,0
3390,EQ-004,normal,v1,pressure_leak,1
4163,EQ-005,normal,v1,normal,0
4197,EQ-005,normal,v1,normal,0
93,EQ-001,high_load,v1,normal,0
2238,EQ-003,normal,v1,normal,0
1760,EQ-002,normal,v1,normal,0
3616,EQ-004,normal,v1,normal,0
59,EQ-001,high_load,v1,bearing_degradation,1
420,EQ-001,normal,v1,sensor_malfunction,1
3560,EQ-004,normal,v1,normal,0
2500,EQ-003,normal,v1,normal,0
2926,EQ-003,normal,v1,normal,0
1657,EQ-002,normal,v1,normal,0
2093,EQ-003,normal,v1,normal,0
4171,EQ-005,normal,v1,thermal_runaway,1
505,EQ-001,normal,v1,bearing_degradation,1
3248,EQ-004,normal,v1,normal,0
1548,EQ-002,normal,v1,normal,0
524,EQ-001,normal,v1,normal,0
4153,EQ-005,normal,v1,normal,0
3384,EQ-004,normal,v1,pressure_leak,1
4770,EQ-005,normal,v1,normal,0
3638,EQ-004,normal,v1,normal,0
3958,EQ-005,high_load,v1,normal,0
3351,EQ-004,normal,v1,sensor_malfunction,1
2785,EQ-003,normal,v1,pressure_leak,1
3328,EQ-004,normal,v1,normal,0
3285,EQ-004,normal,v1,normal,0
2661,EQ-003,normal,v1,normal,0
1021,EQ-002,high_load,v1,normal,0
338,EQ-001,normal,v1,normal,0
344,EQ-001,normal,v1,normal,0
1585,EQ-002,normal,v1,normal,0
2156,EQ-003,normal,v1,normal,0
329,EQ-001,normal,v1,normal,0
2095,EQ-003,normal,v1,normal,0
3800,EQ-004,normal,v1,normal,0
3689,EQ-004,normal,v1,normal,0
1645,EQ-002,normal,v1,normal,0
562,EQ-001,normal,v1,normal,0
2864,EQ-003,normal,v1,normal,0
3769,EQ-004,normal,v1,normal,0
303,EQ-001,normal,v1,normal,0
120,EQ-001,high_load,v1,normal,0
4432,EQ-005,normal,v1,normal,0
2637,EQ-003,normal,v1,normal,0
2035,EQ-003,high_load,v1,normal,0
2923,EQ-003,normal,v1,normal,0
1343,EQ-002,normal,v1,normal,0
2353,EQ-003,normal,v1,normal,0
3864,EQ-004,normal,v1,sensor_malfunction,1
3151,EQ-004,normal,v1,normal,0
3126,EQ-004,normal,v1,normal,0
2365,EQ-003,normal,v1,normal,0
872,EQ-001,normal,v1,normal,0
956,EQ-001,normal,v1,normal,0
3146,EQ-004,normal,v1,normal,0
3930,EQ-005,cooldown,v1,normal,0
4325,EQ-005,normal,v1,normal,0
1319,EQ-002,normal,v1,normal,0
658,EQ-001,normal,v1,normal,0
116,EQ-001,high_load,v1,normal,0
2816,EQ-003,normal,v1,normal,0
1698,EQ-002,normal,v1,normal,0
337,EQ-001,normal,v1,normal,0
3087,EQ-004,normal,v1,normal,0
3805,EQ-004,normal,v1,normal,0
1096,EQ-002,normal,v1,normal,0
529,EQ-001,normal,v1,normal,0
4346,EQ-005,normal,v1,normal,0
113,EQ-001,high_load,v1,normal,0
2420,EQ-003,normal,v1,bearing_degradation,1
1604,EQ-002,normal,v1,normal,0
3164,EQ-004,normal,v1,normal,0
551,EQ-001,normal,v1,sensor_malfunction,1
4062,EQ-005,normal,v1,normal,0
1681,EQ-002,normal,v1,normal,0
769,EQ-001,normal,v1,normal,0
1336,EQ-002,normal,v1,normal,0
4742,EQ-005,normal,v1,normal,0
1198,EQ-002,normal,v1,normal,0
1143,EQ-002,normal,v1,normal,0
1926,EQ-002,normal,v1,normal,0
1526,EQ-002,normal,v1,normal,0
2328,EQ-003,normal,v1,normal,0
1715,EQ-002,normal,v1,bearing_degradation,1
949,EQ-001,normal,v1,normal,0
4377,EQ-005,normal,v1,normal,0
1900,EQ-002,normal,v1,thermal_runaway,1
3830,EQ-004,normal,v1,normal,0
2844,EQ-003,normal,v1,normal,0
4165,EQ-005,normal,v1,normal,0
3972,EQ-005,high_load,v1,normal,0
1723,EQ-002,normal,v1,pressure_leak,1
1144,EQ-002,normal,v1,pressure_leak,1
4745,EQ-005,normal,v1,normal,0
1679,EQ-002,normal,v1,bearing_degradation,1
319,EQ-001,normal,v1,normal,0
2800,EQ-003,normal,v1,normal,0
2385,EQ-003,normal,v1,normal,0
1379,EQ-002,normal,v1,normal,0
3393,EQ-004,normal,v1,normal,0
3015,EQ-004,high_load,v1,normal,0
3907,EQ-004,normal,v1,normal,0
2498,EQ-003,normal,v1,normal,0
4803,EQ-005,normal,v1,thermal_runaway,1
2728,EQ-003,normal,v1,bearing_degradation,1
4351,EQ-005,normal,v1,normal,0
706,EQ-001,normal,v1,normal,0
4047,EQ-005,normal,v1,normal,0
2576,EQ-003,normal,v1,thermal_runaway,1
4420,EQ-005,normal,v1,normal,0
4083,EQ-005,normal,v1,normal,0
105,EQ-001,high_load,v1,normal,0
545,EQ-001,normal,v1,normal,0
967,EQ-001,normal,v1,normal,0
1549,EQ-002,normal,v1,normal,0
1727,EQ-002,normal,v1,pressure_leak,1
1463,EQ-002,normal,v1,normal,0
1043,EQ-002,high_load,v1,normal,0
4731,EQ-005,normal,v1,normal,0
602,EQ-001,normal,v1,normal,0
1978,EQ-003,high_load,v1,normal,0
2023,EQ-003,high_load,v1,pressure_leak,1
1330,EQ-002,normal,v1,normal,0
702,EQ-001,normal,v1,normal,0
4294,EQ-005,normal,v1,normal,0
4458,EQ-005,normal,v1,bearing_degradation,1
547,EQ-001,normal,v1,normal,0
3376,EQ-004,normal,v1,normal,0
994,EQ-002,high_load,v1,normal,0
3569,EQ-004,normal,v1,normal,0
4181,EQ-005,normal,v1,normal,0
3055,EQ-004,high_load,v1,normal,0
4371,EQ-005,normal,v1,normal,0
1952,EQ-002,normal,v1,normal,0
4025,EQ-005,normal,v1,pressure_leak,1
4723,EQ-005,normal,v1,normal,0
4668,EQ-005,normal,v1,normal,0
3470,EQ-004,normal,v1,normal,0
3607,EQ-004,normal,v1,normal,0
4700,EQ-005,normal,v1,normal,0
386,EQ-001,normal,v1,normal,0
1582,EQ-002,normal,v1,normal,0
3531,EQ-004,normal,v1,normal,0
4111,EQ-005,normal,v1,bearing_degradation,1
3662,EQ-004,normal,v1,normal,0
1573,EQ-002,normal,v1,normal,0
1426,EQ-002,normal,v1,sensor_malfunction,1
2016,EQ-003,high_load,v1,pressure_leak,1
3523,EQ-004,normal,v1,normal,0
3308,EQ-004,normal,v1,normal,0
909,EQ-001,normal,v1,normal,0
362,EQ-001,normal,v1,normal,0
806,EQ-001,normal,v1,pressure_leak,1
4535,EQ-005,normal,v1,normal,0
3267,EQ-004,normal,v1,bearing_degradation,1
2708,EQ-003,normal,v1,normal,0
48,EQ-001,high_load,v1,normal,0
140,EQ-001,high_load,v1,normal,0
1752,EQ-002,normal,v1,normal,0
3173,EQ-004,normal,v1,normal,0
436,EQ-001,normal,v1,normal,0
3772,EQ-004,normal,v1,normal,0
4298,EQ-005,normal,v1,normal,0
1506,EQ-002,normal,v1,normal,0
1028,EQ-002,high_load,v1,normal,0
1082,EQ-002,normal,v1,normal,0
2018,EQ-003,high_load,v1,pressure_leak,1
3054,EQ-004,high_load,v1,normal,0
3382,EQ-004,normal,v1,normal,0
1807,EQ-002,normal,v1,normal,0
3801,EQ-004,normal,v1,normal,0
908,EQ-001,normal,v1,normal,0
3581,EQ-004,normal,v1,normal,0
1332,EQ-002,normal,v1,normal,0
4779,EQ-005,normal,v1,normal,0
1493,EQ-002,normal,v1,normal,0
4073,EQ-005,normal,v1,normal,0
1439,EQ-002,normal,v1,normal,0
86,EQ-001,high_load,v1,normal,0
2630,EQ-003,normal,v1,normal,0
2558,EQ-003,normal,v1,normal,0
3977,EQ-005,high_load,v1,normal,0
703,EQ-001,normal,v1,normal,0
3835,EQ-004,normal,v1,normal,0
3998,EQ-005,high_load,v1,normal,0
208,EQ-001,normal,v1,bearing_degradation,1
2443,EQ-003,normal,v1,normal,0
1872,EQ-002,normal,v1,normal,0
122,EQ-001,high_load,v1,normal,0
3936,EQ-005,high_load,v1,normal,0
1311,EQ-002,normal,v1,normal,0
185,EQ-001,normal,v1,normal,0
3812,EQ-004,normal,v1,normal,0
3056,EQ-004,high_load,v1,normal,0
2673,EQ-003,normal,v1,sensor_malfunction,1
4187,EQ-005,normal,v1,normal,0
481,EQ-001,normal,v1,normal,0
2008,EQ-003,high_load,v1,normal,0
4460,EQ-005,normal,v1,bearing_degradation,1
1866,EQ-002,normal,v1,normal,0
31,EQ-001,high_load,v1,normal,0
2185,EQ-003,normal,v1,normal,0
553,EQ-001,normal,v1,sensor_malfunction,1
1719,EQ-002,normal,v1,bearing_degradation,1
3131,EQ-004,normal,v1,normal,0
4597,EQ-005,normal,v1,normal,0
1355,EQ-002,normal,v1,normal,0
3570,EQ-004,normal,v1,normal,0
2259,EQ-003,normal,v1,normal,0
3262,EQ-004,normal,v1,normal,0
4633,EQ-005,normal,v1,normal,0
512,EQ-001,normal,v1,normal,0
714,EQ-001,normal,v1,normal,0
1181,EQ-002,normal,v1,normal,0
829,EQ-001,normal,v1,normal,0
3914,EQ-004,startup,v1,normal,0
2509,EQ-003,normal,v1,thermal_runaway,1
3038,EQ-004,high_load,v1,bearing_degradation,1
3342,EQ-004,normal,v1,normal,0
3223,EQ-004,normal,v1,normal,0
2692,EQ-003,normal,v1,sensor_malfunction,1
642,EQ-001,normal,v1,normal,0
2288,EQ-003,normal,v1,normal,0
724,EQ-001,normal,v1,normal,0
2242,EQ-003,normal,v1,normal,0
3903,EQ-004,normal,v1,normal,0
328,EQ-001,normal,v1,normal,0
454,EQ-001,normal,v1,bearing_degradation,1
4113,EQ-005,normal,v1,normal,0
2315,EQ-003,normal,v1,normal,0
2732,EQ-003,normal,v1,normal,0
4254,EQ-005,normal,v1,normal,0
3197,EQ-004,normal,v1,normal,0
111,EQ-001,high_load,v1,normal,0
3191,EQ-004,normal,v1,normal,0
317,EQ-001,normal,v1,normal,0
4342,EQ-005,normal,v1,normal,0
836,EQ-001,normal,v1,normal,0
2565,EQ-003,normal,v1,sensor_malfunction,1
2641,EQ-003,normal,v1,normal,0
837,EQ-001,normal,v1,normal,0
3381,EQ-004,normal,v1,normal,0
1923,EQ-002,normal,v1,normal,0
595,EQ-001,normal,v1,normal,0
3867,EQ-004,normal,v1,normal,0
3509,EQ-004,normal,v1,normal,0
533,EQ-001,normal,v1,normal,0
1894,EQ-002,normal,v1,sensor_malfunction,1
4867,EQ-005,normal,v1,normal,0
1742,EQ-002,normal,v1,bearing_degradation,1
379,EQ-001,normal,v1,normal,0
3912,EQ-004,startup,v1,normal,0
